Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1517443200000,10285.10000000,10300.00000000,10285.10000000,10299.99000000,13.40934800,1517443259999,138105.28422690,108,13.09732400,134892.82780682,0
1517443260000,10299.99000000,10299.99000000,10250.00000000,10260.04000000,25.68831900,1517443319999,264050.46406109,210,8.58654600,88289.62734040,0
1517443320000,10260.00000000,10284.42000000,10258.51000000,10276.73000000,11.50156200,1517443379999,118136.00378106,109,8.02495200,82446.98564205,0
1517443380000,10279.86000000,10283.98000000,10276.77000000,10276.99000000,4.18284000,1517443439999,42993.13278241,39,1.46076000,15018.61054015,0
1517443440000,10283.96000000,10283.97000000,10277.14000000,10283.00000000,4.53716900,1517443499999,46652.53228912,46,1.62675400,16728.96406035,0
1517443500000,10283.31000000,10304.24000000,10283.31000000,10304.24000000,42.40405700,1517443559999,436682.67622827,173,41.74952400,429947.90396874,0
1517443560000,10305.00000000,10320.03000000,10305.00000000,10314.68000000,5.96446100,1517443619999,61510.05722923,92,2.37896300,24532.49173150,0
1517443620000,10310.41000000,10314.61000000,10268.20000000,10291.98000000,12.02492900,1517443679999,123761.64049312,187,4.71895500,48565.09636497,0
1517443680000,10281.73000000,10297.93000000,10273.39000000,10273.39000000,7.62832600,1517443739999,78453.75137963,70,1.45928500,15017.01804850,0
1517443740000,10273.39000000,10298.89000000,10273.39000000,10298.89000000,13.09009900,1517443799999,134692.40774757,111,10.78155400,110947.01036814,0
1517443800000,10294.96000000,10300.00000000,10290.00000000,10291.06000000,7.28972500,1517443859999,75074.08691585,95,2.71189300,27928.95667411,0
1517443860000,10298.97000000,10300.00000000,10279.98000000,10285.51000000,13.46513500,1517443919999,138562.54367745,128,5.75299400,59233.84540380,0
1517443920000,10284.41000000,10299.98000000,10280.03000000,10283.30000000,2.07382800,1517443979999,21337.67872487,60,1.02771400,10574.55717973,0
1517443980000,10295.01000000,10300.50000000,10288.79000000,10298.00000000,12.13290600,1517444039999,124937.71444320,95,6.71202300,69128.64356034,0
1517444040000,10295.07000000,10319.96000000,10295.05000000,10301.14000000,18.77862800,1517444099999,193551.97685652,140,5.41662100,55840.35254599,0
1517444100000,10301.14000000,10316.22000000,10301.01000000,10314.99000000,6.68783400,1517444159999,68942.61240441,74,1.27483300,13142.13525264,0
1517444160000,10306.43000000,10320.04000000,10303.04000000,10306.46000000,5.14366300,1517444219999,53067.13301780,85,2.78540600,28744.33353515,0
1517444220000,10306.48000000,10316.00000000,10303.03000000,10313.00000000,1.93601400,1517444279999,19956.40401818,42,1.29155500,13314.46779214,0
1517444280000,10313.00000000,10313.00000000,10301.02000000,10301.02000000,4.90253800,1517444339999,50545.71991291,69,2.96353900,30562.40676864,0
1517444340000,10301.02000000,10311.97000000,10295.05000000,10299.00000000,5.92976100,1517444399999,61075.89243212,65,2.18314900,22485.55933980,0
1517444400000,10297.80000000,10315.00000000,10295.05000000,10315.00000000,6.78432300,1517444459999,69900.20916548,60,4.16346300,42901.64725352,0
1517444460000,10314.98000000,10320.00000000,10300.17000000,10316.00000000,20.11725500,1517444519999,207576.78700785,77,16.17874500,166948.16500031,0
1517444520000,10316.00000000,10320.99000000,10315.00000000,10320.99000000,14.04849000,1517444579999,144928.41493978,71,1.36501700,14086.26901942,0
1517444580000,10322.29000000,10335.00000000,10319.99000000,10330.00000000,11.66157000,1517444639999,120464.83282952,140,3.32972300,34396.98327762,0
1517444640000,10330.00000000,10331.00000000,10303.08000000,10322.69000000,22.41131100,1517444699999,231472.45852988,164,4.60339000,47552.46274938,0
1517444700000,10328.96000000,10331.00000000,10322.69000000,10322.69000000,5.06500500,1517444759999,52322.27874905,69,4.51686100,46660.45804928,0
1517444760000,10322.69000000,10330.00000000,10315.00000000,10315.00000000,6.86324600,1517444819999,70836.51776131,60,2.15563500,22245.69638458,0
1517444820000,10319.00000000,10322.65000000,10303.08000000,10314.27000000,9.53301100,1517444879999,98315.45920364,151,2.78685500,28745.09942638,0
1517444880000,10314.27000000,10330.00000000,10314.27000000,10316.02000000,13.18173800,1517444939999,136080.17705143,99,9.28496800,95875.31340251,0
1517444940000,10316.02000000,10330.00000000,10316.02000000,10328.98000000,11.18575400,1517444999999,115512.07880041,105,8.13367000,84002.47955646,0
1517445000000,10329.91000000,10330.00000000,10316.03000000,10319.41000000,3.19906600,1517445059999,33032.51076534,47,2.07002200,21380.27604512,0
